numCommande;numBouquet;nbrBouquets;nomFleur;nbrFleurs
;;;Dahlia;3
;;;Mimosa;1
;;;Lys;1
;;;Rose;1
20;3;1;Tournesol;7
;;;Oeillet;1
20;4;1;Tulipe;4
;;;Hortensia;2
20;5;1;Edelweiss;2
;;;Lys;3
20;6;2;Jasmin;7
;;;Oeillet;1
21;1;1;Paquerette;11
;;;Coquelicot;2
21;2;2;Jasmin;8
;;;Hortensia;1
;;;Tournesol;1
21;3;2;Tulipe;11
;;;Anemone;2
21;4;1;Violette;1
;;;Lys;2
;;;Coquelicot;8
;;;Dahlia;4
22;1;1;Dahlia;15
;;;Crocus;1
22;2;3;Narcisse;13
;;;Mimosa;2
23;1;1;Tulipe;3
;;;Tournesol;4
;;;Mimosa;4
;;;Hortensia;2
;;;Chrysantheme;1
23;2;3;Tournesol;6
;;;Coquelicot;5
;;;Crocus;1
;;;Camelia;3
;;;Mimosa;4
;;;Hortensia;1
23;3;2;Pivoine;8
;;;Anemone;1
24;1;1;Pivoine;4
;;;Anemone;4
24;2;1;Narcisse;1
;;;Tulipe;4
;;;Violette;2
;;;Camelia;1
;;;Anemone;1
24;3;1;Rose;9
;;;Tournesol;2
;;;Anemone;2
;;;Lys;3
24;4;1;Paquerette;7
24;5;2;Hortensia;9
;;;Camelia;1
;;;Dahlia;2
25;1;1;Tiare;4
;;;Mimosa;1
;;;Pivoine;1
25;2;1;Rose;1
;;;Glaieul;5
;;;Violette;1
26;1;1;Pivoine;2
;;;Glaieul;3
;;;Rose;1
26;2;3;Mimosa;5
27;1;1;Crocus;14
;;;Tulipe;1
;;;Dahlia;1
27;2;1;Jasmin;9
;;;Edelweiss;6
;;;Anemone;3
27;3;1;Chrysantheme;4
;;;Hortensia;1
28;1;1;Chrysantheme;19
;;;Jasmin;1
28;2;4;Narcisse;9
;;;Hortensia;3
29;1;1;Tiare;6
;;;Paquerette;11
;;;Anemone;1
;;;Crocus;1
29;2;1;Rose;6
;;;Mimosa;7
;;;Tiare;1
;;;Oeillet;4
;;;Tulipe;1
29;3;1;Coquelicot;8
29;4;1;Rose;10
29;5;1;Rose;9
;;;Oeillet;7
29;6;2;Camelia;1
;;;Mimosa;7
;;;Paquerette;1
30;1;1;Tulipe;7
30;2;2;Dahlia;9
;;;Crocus;8
30;3;3;Lys;5
;;;Crocus;1
31;1;1;Hortensia;8
;;;Camelia;3
;;;Anemone;2
;;;Rose;2
31;2;2;Edelweiss;4
;;;Hortensia;2
;;;Tiare;1
31;3;4;Lys;3
;;;Paquerette;12
;;;Coquelicot;1
;;;Oeillet;2
32;1;1;Tiare;6
;;;Hortensia;2
;;;Pivoine;1
33;1;1;Hortensia;6
;;;Jasmin;6
;;;Chrysantheme;3
33;2;1;Camelia;8
;;;Tournesol;1
;;;Lys;2
33;3;1;Violette;1
;;;Tournesol;8
;;;Hortensia;1
;;;Lys;1
;;;Pivoine;4
;;;Edelweiss;2
33;4;2;Rose;10
;;;Lys;1
;;;Hortensia;1
34;1;1;Edelweiss;3
;;;Anemone;2
;;;Glaieul;1
34;2;3;Lys;2
;;;Dahlia;3
;;;Crocus;6
;;;Coquelicot;1
34;3;3;Paquerette;1
;;;Tiare;2
;;;Chrysantheme;5
;;;Anemone;4
35;1;1;Narcisse;14
;;;Jasmin;1
;;;Pivoine;1
35;2;3;Crocus;3
;;;Narcisse;2
36;1;1;Hortensia;5
;;;Violette;2
;;;Lys;1
36;2;6;Narcisse;5
;;;Coquelicot;14
37;1;1;Edelweiss;3
;;;Mimosa;8
;;;Rose;3
;;;Oeillet;1
37;2;6;Tournesol;4
;;;Pivoine;5
;;;Anemone;2
;;;Tulipe;1
38;1;1;Jasmin;2
;;;Crocus;1
;;;Violette;2
;;;Hortensia;1
38;2;2;Paquerette;8
39;1;1;Jasmin;2
;;;Pivoine;3
39;2;1;Narcisse;3
;;;Tiare;6
;;;Coquelicot;1
39;3;4;Rose;2
;;;Paquerette;8
;;;Tiare;1
;;;Dahlia;3
40;1;1;Coquelicot;4
;;;Camelia;4
40;2;3;Oeillet;5
40;3;3;Rose;16
;;;Oeillet;2
;;;Jasmin;1
41;1;1;Hortensia;9
;;;Crocus;1
41;2;3;Rose;1
;;;Coquelicot;4
;;;Glaieul;2
;;;Hortensia;1
41;3;1;Oeillet;5
42;1;1;Rose;9
;;;Violette;3
;;;Paquerette;1
42;2;1;Crocus;4
;;;Lys;1
;;;Glaieul;1
42;3;3;Hortensia;7
;;;Oeillet;3
;;;Pivoine;1
;;;Tournesol;1
43;1;1;Paquerette;3
;;;Tulipe;2
43;2;2;Paquerette;8
;;;Rose;1
;;;Anemone;1
44;1;1;Hortensia;2
;;;Edelweiss;1
;;;Crocus;3
;;;Lys;1
44;2;1;Chrysantheme;2
;;;Crocus;11
;;;Coquelicot;1
44;3;1;Crocus;2
;;;Paquerette;4
;;;Rose;2
;;;Narcisse;2
;;;Anemone;1
44;4;2;Mimosa;7
45;1;1;Dahlia;6
45;2;2;Tulipe;7
;;;Edelweiss;3
;;;Mimosa;8
45;3;2;Edelweiss;18
;;;Hortensia;1
46;1;1;Camelia;7
46;2;1;Edelweiss;13
;;;Narcisse;1
46;3;3;Rose;9
;;;Glaieul;3
46;4;1;Dahlia;5
;;;Paquerette;1
;;;Tournesol;1
47;1;1;Coquelicot;9
;;;Crocus;1
47;2;2;Edelweiss;3
;;;Dahlia;1
;;;Tulipe;4
;;;Glaieul;1
48;1;1;Violette;8
;;;Pivoine;1
48;2;1;Tulipe;13
;;;Narcisse;5
;;;Anemone;1
48;3;1;Dahlia;1
;;;Narcisse;6
;;;Tulipe;8
;;;Tiare;1
48;4;1;Anemone;11
;;;Pivoine;2
;;;Crocus;5
;;;Camelia;1
;;;Chrysantheme;1
48;5;2;Edelweiss;6
;;;Hortensia;1
49;1;1;Chrysantheme;5
;;;Tulipe;6
;;;Rose;4
;;;Tournesol;1
;;;Lys;1
49;2;2;Tournesol;9
;;;Glaieul;7
;;;Rose;3
50;1;1;Pivoine;6
;;;Violette;2
;;;Tulipe;2
50;2;1;Jasmin;12
;;;Edelweiss;2
50;3;4;Tulipe;1
;;;Chrysantheme;9
;;;Tiare;1
;;;Jasmin;3
;;;Coquelicot;1
;;;Oeillet;1
;;;Rose;1
51;1;1;Narcisse;6
;;;Glaieul;3
;;;Hortensia;4
;;;Tournesol;1
51;2;5;Tulipe;3
;;;Tournesol;3
;;;Violette;2
;;;Tiare;2
;;;Lys;2
;;;Paquerette;1
52;1;1;Narcisse;8
;;;Oeillet;1
52;2;3;Chrysantheme;4
;;;Paquerette;3
;;;Tulipe;7
;;;Lys;1
;;;Tiare;1
53;1;1;Tiare;5
;;;Dahlia;2
;;;Pivoine;1
;;;Oeillet;1
53;2;5;Dahlia;1
;;;Anemone;6
;;;Tournesol;2
;;;Oeillet;4
54;1;1;Mimosa;7
54;2;4;Hortensia;5
;;;Narcisse;5
;;;Anemone;2
;;;Mimosa;2
54;3;2;Rose;15
;;;Tulipe;2
;;;Coquelicot;1
55;1;1;Rose;9
;;;Mimosa;4
;;;Jasmin;2
55;2;5;Chrysantheme;7
;;;Tournesol;4
;;;Anemone;1
56;1;1;Tournesol;7
56;2;6;Lys;19
;;;Rose;1
57;1;1;Tiare;8
;;;Hortensia;1
57;2;2;Tiare;4
;;;Dahlia;4
;;;Violette;1
;;;Crocus;1
58;1;1;Camelia;6
;;;Jasmin;1
58;2;1;Paquerette;2
;;;Coquelicot;2
;;;Jasmin;5
58;3;1;Anemone;4
;;;Dahlia;5
;;;Camelia;1
;;;Chrysantheme;1
;;;Jasmin;2
58;4;2;Anemone;5
;;;Oeillet;1
;;;Coquelicot;2
59;1;1;Glaieul;13
;;;Jasmin;1
;;;Dahlia;3
;;;Paquerette;1
59;2;2;Anemone;11
60;1;1;Tournesol;2
;;;Narcisse;6
;;;Glaieul;1
60;2;1;Dahlia;12
;;;Tournesol;1
61;1;1;Camelia;4
;;;Pivoine;1
;;;Narcisse;3
61;2;2;Coquelicot;4
;;;Hortensia;1
;;;Chrysantheme;2
62;1;1;Camelia;2
;;;Violette;2
;;;Dahlia;4
;;;Mimosa;4
;;;Tournesol;1
;;;Paquerette;1
;;;Coquelicot;1
;;;Edelweiss;1
62;2;3;Crocus;4
;;;Lys;1
63;1;1;Hortensia;2
;;;Jasmin;6
;;;Rose;5
63;2;3;Hortensia;2
;;;Rose;3
;;;Pivoine;8
;;;Camelia;3
;;;Dahlia;1
64;1;1;Chrysantheme;5
;;;Narcisse;3
;;;Jasmin;2
64;2;2;Tournesol;8
;;;Tulipe;1
65;1;1;Lys;7
;;;Edelweiss;5
;;;Coquelicot;3
65;2;2;Narcisse;2
;;;Glaieul;1
;;;Rose;1
;;;Anemone;1
66;1;1;Hortensia;17
;;;Oeillet;1
66;2;3;Dahlia;9
67;1;1;Tournesol;1
;;;Rose;6
67;2;5;Camelia;1
;;;Edelweiss;8
;;;Coquelicot;1
;;;Lys;1
68;1;1;Lys;10
;;;Pivoine;6
69;1;1;Glaieul;8
;;;Narcisse;2
69;2;3;Anemone;5
;;;Dahlia;4
69;3;2;Paquerette;11
;;;Narcisse;2
70;1;1;Anemone;1
;;;Camelia;6
;;;Narcisse;3
70;2;3;Violette;8
;;;Hortensia;1
;;;Edelweiss;3
;;;Oeillet;3
71;1;1;Narcisse;1
;;;Tournesol;2
;;;Paquerette;6
;;;Tiare;1
;;;Glaieul;6
71;2;1;Anemone;1
;;;Oeillet;1
;;;Tiare;3
71;3;2;Dahlia;3
;;;Hortensia;3
;;;Oeillet;2
;;;Crocus;1
72;1;1;Paquerette;6
;;;Crocus;9
;;;Mimosa;1
73;1;1;Chrysantheme;19
73;2;1;Hortensia;17
74;1;1;Jasmin;4
;;;Oeillet;2
;;;Pivoine;2
;;;Coquelicot;1
74;2;2;Coquelicot;10
;;;Tiare;3
;;;Lys;2
;;;Paquerette;1
75;1;1;Chrysantheme;5
;;;Tournesol;1
;;;Pivoine;1
75;2;1;Narcisse;6
;;;Tiare;2
;;;Lys;3
75;3;2;Tiare;3
;;;Hortensia;9
;;;Dahlia;4
;;;Pivoine;2
76;1;1;Narcisse;3
;;;Dahlia;2
;;;Anemone;10
;;;Lys;1
;;;Oeillet;2
76;2;6;Tiare;3
;;;Violette;2
;;;Lys;2
77;1;1;Lys;14
77;2;3;Rose;6
;;;Violette;4
;;;Dahlia;1
78;1;1;Camelia;10
;;;Dahlia;2
;;;Crocus;1
;;;Lys;1
78;2;1;Tournesol;5
78;3;2;Mimosa;12
79;1;1;Tiare;5
;;;Tournesol;6
80;1;1;Tiare;3
;;;Tulipe;5
;;;Anemone;1
80;2;2;Anemone;9
;;;Tulipe;1
81;1;1;Coquelicot;18
;;;Lys;1
81;2;2;Pivoine;8
;;;Oeillet;3
81;3;1;Coquelicot;2
;;;Dahlia;4
;;;Mimosa;3
;;;Paquerette;1
;;;Crocus;1
81;4;2;Chrysantheme;9
;;;Coquelicot;1
82;1;1;Anemone;7
;;;Jasmin;5
;;;Tournesol;1
;;;Tiare;2
;;;Paquerette;1
;;;Coquelicot;1
82;2;3;Edelweiss;6
;;;Dahlia;1
83;1;1;Edelweiss;8
;;;Paquerette;8
;;;Tiare;1
83;2;1;Pivoine;19
83;3;1;Anemone;3
;;;Tournesol;2
;;;Coquelicot;1
83;4;3;Jasmin;2
;;;Oeillet;5
;;;Paquerette;1
;;;Violette;1
84;1;1;Narcisse;3
;;;Lys;2
;;;Dahlia;1
;;;Glaieul;1
84;2;1;Dahlia;4
;;;Glaieul;2
84;3;5;Lys;14
;;;Anemone;5
85;1;1;Tiare;6
;;;Pivoine;7
;;;Jasmin;1
85;2;3;Mimosa;7
;;;Edelweiss;1
85;3;2;Lys;3
;;;Camelia;4
86;1;1;Lys;11
;;;Jasmin;3
86;2;2;Violette;16
86;3;4;Tiare;2
;;;Lys;4
;;;Edelweiss;6
87;1;1;Pivoine;3
;;;Mimosa;10
;;;Paquerette;2
87;2;2;Camelia;3
;;;Chrysantheme;6
;;;Oeillet;1
;;;Tournesol;1
87;3;2;Chrysantheme;4
;;;Tiare;1
;;;Violette;1
;;;Lys;3
87;4;2;Jasmin;4
;;;Tournesol;4
;;;Oeillet;3
88;1;1;Violette;8
;;;Hortensia;3
;;;Pivoine;1
;;;Paquerette;1
89;1;1;Oeillet;6
;;;Glaieul;2
;;;Lys;4
;;;Tiare;2
;;;Tournesol;3
;;;Paquerette;1
89;2;4;Crocus;5
89;3;1;Rose;11
;;;Tournesol;2
90;1;1;Tulipe;8
;;;Dahlia;6
;;;Pivoine;3
90;2;3;Jasmin;1
;;;Narcisse;2
;;;Anemone;1
;;;Tulipe;1
;;;Tournesol;2
;;;Hortensia;3
;;;Pivoine;1
91;1;1;Tulipe;11
;;;Chrysantheme;4
91;2;1;Tiare;12
92;1;1;Tiare;4
;;;Paquerette;1
;;;Mimosa;3
92;2;2;Crocus;4
;;;Jasmin;1
;;;Tiare;1
;;;Dahlia;1
93;1;1;Coquelicot;3
;;;Oeillet;1
;;;Tulipe;5
;;;Hortensia;2
;;;Camelia;1
;;;Lys;1
94;1;1;Oeillet;9
;;;Rose;1
94;2;5;Tulipe;8
;;;Hortensia;6
;;;Tiare;3
;;;Crocus;1
95;1;1;Tulipe;5
;;;Oeillet;2
;;;Tiare;1
96;1;1;Paquerette;6
;;;Crocus;4
;;;Rose;2
96;2;2;Tournesol;3
;;;Dahlia;15
;;;Jasmin;2
96;3;2;Edelweiss;7
;;;Hortensia;2
;;;Coquelicot;1
97;1;1;Tulipe;1
;;;Crocus;6
;;;Glaieul;2
97;2;1;Glaieul;2
;;;Pivoine;8
;;;Camelia;4
;;;Chrysantheme;1
97;3;5;Paquerette;3
;;;Crocus;1
;;;Lys;4
98;1;1;Jasmin;1
;;;Mimosa;3
;;;Rose;2
98;2;5;Oeillet;4
;;;Rose;3
;;;Mimosa;1
99;1;1;Glaieul;9
;;;Anemone;5
;;;Lys;1
99;2;1;Tiare;6
;;;Lys;1
99;3;2;Camelia;20
100;1;1;Anemone;1
;;;Dahlia;15
;;;Tiare;1
100;2;1;Hortensia;6
;;;Camelia;8
;;;Mimosa;3
;;;Paquerette;3
101;1;1;Rose;1
;;;Narcisse;7
;;;Chrysantheme;1
101;2;5;Paquerette;2
;;;Narcisse;9
;;;Violette;3
;;;Jasmin;1
102;1;1;Pivoine;11
;;;Tournesol;1
;;;Glaieul;1
;;;Rose;2
102;2;2;Chrysantheme;8
;;;Tournesol;2
;;;Dahlia;2
;;;Crocus;2
102;3;1;Coquelicot;11
;;;Tournesol;7
;;;Chrysantheme;2
102;4;3;Tiare;17
;;;Dahlia;2
103;1;1;Coquelicot;6
;;;Jasmin;1
103;2;2;Violette;10
104;1;1;Anemone;4
;;;Violette;1
;;;Chrysantheme;1
;;;Glaieul;1
;;;Paquerette;2
;;;Rose;1
104;2;3;Narcisse;4
;;;Edelweiss;1
105;1;1;Lys;5
;;;Oeillet;1
;;;Hortensia;1
;;;Tournesol;1
106;1;1;Rose;1
;;;Coquelicot;9
106;2;1;Violette;8
;;;Lys;5
;;;Anemone;2
;;;Chrysantheme;1
;;;Crocus;2
106;3;2;Oeillet;4
;;;Tournesol;1
;;;Narcisse;5
;;;Edelweiss;4
107;1;1;Anemone;3
;;;Lys;11
107;2;2;Camelia;12
;;;Oeillet;1
;;;Coquelicot;1
107;3;2;Tulipe;7
;;;Lys;1
108;1;1;Violette;13
;;;Pivoine;1
108;2;3;Lys;6
;;;Mimosa;4
;;;Chrysantheme;8
108;3;2;Pivoine;4
;;;Chrysantheme;1
;;;Tiare;1
109;1;1;Coquelicot;12
;;;Chrysantheme;1
109;2;1;Tournesol;13
;;;Paquerette;4
;;;Mimosa;1
;;;Narcisse;2
109;3;3;Narcisse;8
;;;Tulipe;1
110;1;1;Camelia;2
;;;Hortensia;11
;;;Tournesol;1
110;2;5;Violette;5
;;;Paquerette;5
;;;Mimosa;1
111;1;1;Pivoine;9
;;;Violette;1
;;;Tiare;1
112;1;1;Hortensia;15
;;;Rose;3
112;2;2;Tournesol;6
;;;Edelweiss;3
;;;Camelia;1
;;;Violette;4
112;3;1;Crocus;5
113;1;1;Narcisse;2
;;;Mimosa;2
;;;Paquerette;1
113;2;6;Tournesol;7
;;;Narcisse;1
114;1;1;Rose;1
;;;Glaieul;1
;;;Dahlia;4
;;;Lys;1
114;2;5;Lys;1
;;;Tournesol;9
;;;Jasmin;2
;;;Mimosa;3
;;;Pivoine;1
115;1;1;Camelia;19
115;2;3;Violette;1
;;;Camelia;6
;;;Crocus;2
;;;Lys;1
116;1;1;Rose;7
;;;Mimosa;1
;;;Coquelicot;2
116;2;1;Tournesol;5
;;;Edelweiss;9
117;1;1;Oeillet;7
;;;Glaieul;3
117;2;1;Tiare;5
;;;Anemone;1
117;3;4;Jasmin;2
;;;Tournesol;4
118;1;1;Coquelicot;6
;;;Paquerette;5
;;;Dahlia;4
;;;Tournesol;3
;;;Violette;1
;;;Mimosa;1
118;2;2;Tiare;5
;;;Crocus;4
118;3;4;Violette;9
119;1;1;Paquerette;12
;;;Tournesol;3
;;;Chrysantheme;5
119;2;2;Rose;13
;;;Hortensia;1
;;;Edelweiss;1
120;1;1;Jasmin;10
;;;Anemone;3
120;2;2;Paquerette;5
;;;Crocus;4
;;;Mimosa;2
;;;Tournesol;2
120;3;2;Chrysantheme;9
;;;Glaieul;10
;;;Dahlia;1
120;4;2;Narcisse;6
;;;Anemone;5
;;;Oeillet;1
121;1;1;Pivoine;2
;;;Dahlia;6
;;;Jasmin;6
121;2;3;Narcisse;9
;;;Dahlia;6
;;;Tulipe;2
122;1;1;Narcisse;4
;;;Tulipe;3
122;2;2;Hortensia;10
;;;Glaieul;2
;;;Narcisse;1
;;;Tournesol;1
123;1;1;Camelia;6
123;2;1;Tournesol;10
;;;Mimosa;3
;;;Violette;4
;;;Paquerette;1
124;1;1;Narcisse;4
;;;Paquerette;1
124;2;3;Jasmin;9
;;;Anemone;2
;;;Paquerette;2
125;1;1;Anemone;3
;;;Crocus;1
;;;Chrysantheme;1
126;1;1;Tiare;5
;;;Jasmin;2
;;;Hortensia;2
126;2;4;Violette;5
;;;Hortensia;1
;;;Anemone;4
;;;Camelia;1
127;1;1;Camelia;12
127;2;3;Mimosa;10
;;;Violette;4
127;3;3;Camelia;7
;;;Oeillet;1
;;;Lys;1
128;1;1;Lys;1
;;;Violette;4
;;;Mimosa;6
;;;Anemone;1
;;;Hortensia;2
;;;Edelweiss;2
;;;Rose;1
128;2;1;Lys;4
;;;Coquelicot;2
128;3;1;Rose;7
;;;Jasmin;1
128;4;2;Mimosa;5
;;;Glaieul;2
;;;Tiare;1
128;5;2;Rose;6
;;;Crocus;1
;;;Tournesol;5
;;;Violette;2
;;;Hortensia;2
129;1;1;Glaieul;1
;;;Tiare;2
;;;Lys;2
;;;Pivoine;8
;;;Tulipe;6
130;1;1;Narcisse;11
;;;Chrysantheme;1
;;;Violette;2
;;;Glaieul;3
130;2;1;Edelweiss;7
;;;Narcisse;1
130;3;3;Oeillet;1
;;;Dahlia;1
;;;Narcisse;2
;;;Violette;1
;;;Tulipe;6
;;;Camelia;3
;;;Coquelicot;2
131;1;1;Edelweiss;9
;;;Rose;4
131;2;6;Oeillet;1
;;;Glaieul;4
132;1;1;Edelweiss;4
;;;Camelia;1
;;;Tulipe;2
;;;Rose;2
;;;Crocus;1
132;2;1;Anemone;9
;;;Dahlia;1
;;;Paquerette;1
132;3;2;Oeillet;8
;;;Chrysantheme;1
133;1;1;Edelweiss;9
;;;Crocus;4
;;;Narcisse;2
133;2;1;Camelia;9
;;;Crocus;1
;;;Rose;1
133;3;1;Pivoine;4
;;;Tournesol;10
;;;Oeillet;1
133;4;4;Anemone;1
;;;Edelweiss;8
;;;Chrysantheme;2
;;;Oeillet;5
134;1;1;Crocus;5
;;;Dahlia;3
134;2;2;Dahlia;3
;;;Paquerette;1
;;;Hortensia;1
134;3;2;Glaieul;2
;;;Hortensia;7
;;;Edelweiss;1
;;;Dahlia;1
;;;Crocus;1
135;1;1;Crocus;5
135;2;1;Dahlia;2
;;;Jasmin;5
135;3;1;Pivoine;7
;;;Violette;7
;;;Glaieul;1
135;4;2;Edelweiss;7
;;;Tulipe;1
;;;Narcisse;2
;;;Chrysantheme;1
136;1;1;Glaieul;2
;;;Oeillet;3
;;;Camelia;1
136;2;2;Tulipe;7
137;1;1;Violette;1
;;;Paquerette;5
;;;Tournesol;3
;;;Crocus;1
;;;Jasmin;1
137;2;5;Violette;13
;;;Pivoine;3
;;;Narcisse;1
138;1;1;Hortensia;4
;;;Edelweiss;1
;;;Jasmin;8
;;;Tournesol;5
138;2;1;Edelweiss;3
;;;Mimosa;4
;;;Jasmin;1
;;;Tulipe;1
138;3;4;Anemone;1
;;;Edelweiss;11
;;;Narcisse;7
;;;Rose;1
139;1;1;Narcisse;1
;;;Dahlia;5
;;;Violette;3
140;1;1;Tiare;2
;;;Tulipe;4
;;;Paquerette;3
;;;Rose;2
140;2;2;Rose;14
;;;Mimosa;1
140;3;3;Coquelicot;14
;;;Lys;1
;;;Jasmin;1
141;1;1;Mimosa;5
;;;Tiare;2
;;;Violette;4
;;;Coquelicot;2
;;;Glaieul;2
;;;Jasmin;1
142;1;1;Dahlia;2
;;;Narcisse;7
;;;Pivoine;1
;;;Coquelicot;1
142;2;3;Tiare;6
;;;Edelweiss;4
142;3;3;Rose;9
;;;Pivoine;2
;;;Camelia;3
;;;Glaieul;2
143;1;1;Tournesol;8
;;;Crocus;5
;;;Paquerette;1
143;2;3;Tournesol;11
;;;Coquelicot;1
;;;Tiare;2
144;1;1;Hortensia;9
;;;Oeillet;2
144;2;3;Jasmin;5
;;;Oeillet;2
;;;Crocus;1
145;1;1;Tiare;1
;;;Narcisse;4
;;;Glaieul;2
;;;Lys;1
146;1;1;Anemone;3
;;;Tournesol;2
;;;Rose;2
146;2;2;Pivoine;3
;;;Glaieul;15
147;1;1;Edelweiss;3
;;;Paquerette;4
;;;Tournesol;11
;;;Oeillet;1
147;2;5;Anemone;13
148;1;1;Edelweiss;3
;;;Camelia;9
;;;Tulipe;1
148;2;1;Camelia;9
;;;Mimosa;6
148;3;2;Oeillet;5
;;;Dahlia;1
149;1;1;Camelia;1
;;;Anemone;1
;;;Pivoine;5
150;1;1;Tulipe;11
;;;Tournesol;2
;;;Tiare;1
150;2;3;Violette;2
;;;Oeillet;3
;;;Narcisse;5
;;;Glaieul;1
151;1;1;Tournesol;2
;;;Camelia;12
;;;Paquerette;4
151;2;1;Tournesol;16
;;;Tulipe;2
;;;Coquelicot;1
;;;Mimosa;1
151;3;3;Camelia;12
;;;Coquelicot;1
;;;Crocus;2
;;;Hortensia;1
;;;Oeillet;1
152;1;1;Narcisse;7
;;;Violette;7
;;;Edelweiss;1
;;;Hortensia;3
;;;Anemone;1
152;2;4;Jasmin;9
;;;Camelia;2
;;;Oeillet;4
;;;Chrysantheme;3
;;;Edelweiss;1
153;1;1;Tiare;11
;;;Chrysantheme;5
153;2;1;Tiare;14
;;;Chrysantheme;3
;;;Camelia;1
153;3;1;Violette;1
;;;Pivoine;6
;;;Crocus;1
;;;Lys;1
153;4;3;Jasmin;3
;;;Anemone;10
;;;Hortensia;3
;;;Paquerette;3
154;1;1;Tiare;6
;;;Coquelicot;7
;;;Dahlia;4
;;;Oeillet;2
;;;Jasmin;1
154;2;1;Hortensia;5
;;;Tulipe;4
;;;Dahlia;1
154;3;4;Tournesol;12
;;;Mimosa;5
155;1;1;Dahlia;5
;;;Rose;1
;;;Coquelicot;4
;;;Glaieul;1
;;;Mimosa;1
155;2;1;Lys;5
;;;Glaieul;2
156;1;1;Hortensia;6
;;;Glaieul;7
;;;Oeillet;2
;;;Coquelicot;3
156;2;2;Paquerette;12
;;;Edelweiss;3
;;;Rose;1
156;3;2;Tiare;18
157;1;1;Crocus;18
;;;Mimosa;1
157;2;2;Tulipe;18
158;1;1;Pivoine;11
158;2;3;Tulipe;18
;;;Tournesol;2
159;1;1;Oeillet;4
;;;Hortensia;2
;;;Tournesol;1
159;2;1;Tournesol;3
;;;Anemone;1
;;;Lys;1
159;3;1;Tulipe;2
;;;Tiare;2
;;;Jasmin;1
