dateAchat;numSIREN;nomFleur;nbrFleurs;prixAchatUnitaire
13/01/2021;651982473;Pivoine;4;1.65
13/01/2021;651982473;Glaieul;1;0.92
13/01/2021;842619375;Lys;2;1.29
13/01/2021;275381649;Coquelicot;2;0.1
13/01/2021;672849135;Paquerette;20;0.24
13/01/2021;672849135;Narcisse;3;0.33
13/01/2021;275381649;Rose;3;0.73
20/01/2021;482519367;Chrysantheme;23;0.63
20/01/2021;275381649;Jasmin;1;0.22
20/01/2021;275381649;Narcisse;17;1.19
20/01/2021;503827451;Hortensia;10;0.9
20/01/2021;672849135;Rose;9;0.54
20/01/2021;269481735;Violette;3;0.21
20/01/2021;842619375;Paquerette;4;0.45
20/01/2021;842619375;Crocus;4;0.28
20/01/2021;275381649;Lys;2;1.33
20/01/2021;482519367;Glaieul;1;0.66
20/01/2021;503827451;Oeillet;4;0.27
20/01/2021;482519367;Pivoine;1;0.54
20/01/2021;269481735;Tournesol;1;0.22
20/01/2021;651982473;Tulipe;7;0.27
20/01/2021;651982473;Tiare;1;0.66
21/01/2021;346198275;Tiare;10;2.5
21/01/2021;651982473;Paquerette;13;0.1
21/01/2021;275381649;Anemone;13;1.5
21/01/2021;651982473;Crocus;6;0.37
21/01/2021;269481735;Rose;25;0.54
21/01/2021;482519367;Mimosa;14;2.15
21/01/2021;346198275;Oeillet;11;0.45
21/01/2021;503827451;Tulipe;25;0.41
21/01/2021;482519367;Coquelicot;8;0.43
21/01/2021;275381649;Camelia;2;1.79
21/01/2021;346198275;Violette;10;0.13
21/01/2021;275381649;Pivoine;3;0.99
21/01/2021;346198275;Narcisse;17;0.99
21/01/2021;346198275;Dahlia;1;0.34
21/01/2021;672849135;Chrysantheme;1;0.87
21/01/2021;842619375;Edelweiss;6;2.67
21/01/2021;503827451;Hortensia;5;3.14
21/01/2021;482519367;Glaieul;3;0.36
21/01/2021;482519367;Tournesol;4;0.2
21/01/2021;503827451;Lys;2;0.69
11/01/2021;269481735;Hortensia;11;3.65
11/01/2021;269481735;Camelia;3;0.48
11/01/2021;269481735;Anemone;2;1.67
11/01/2021;672849135;Rose;2;0.61
11/01/2021;651982473;Edelweiss;4;0.56
11/01/2021;275381649;Tiare;1;0.88
11/01/2021;346198275;Lys;3;0.22
11/01/2021;346198275;Paquerette;20;0.65
11/01/2021;672849135;Coquelicot;1;0.25
11/01/2021;482519367;Oeillet;2;0.39
11/01/2021;269481735;Jasmin;2;0.16
11/01/2021;503827451;Crocus;1;0.3
11/01/2021;275381649;Violette;2;0.25
15/01/2021;672849135;Hortensia;8;1.49
15/01/2021;842619375;Jasmin;21;2.49
15/01/2021;275381649;Chrysantheme;12;0.87
15/01/2021;275381649;Camelia;8;0.59
15/01/2021;275381649;Tournesol;9;0.72
15/01/2021;482519367;Lys;4;1.37
15/01/2021;651982473;Violette;3;0.36
15/01/2021;651982473;Pivoine;10;1.63
15/01/2021;651982473;Edelweiss;4;0.76
15/01/2021;842619375;Rose;11;0.54
15/01/2021;269481735;Tulipe;3;0.35
15/01/2021;651982473;Tiare;1;2.99
15/01/2021;346198275;Coquelicot;1;0.24
15/01/2021;842619375;Oeillet;1;0.61
18/01/2021;842619375;Narcisse;29;0.81
18/01/2021;275381649;Jasmin;2;2.1
18/01/2021;482519367;Pivoine;1;1.02
18/01/2021;842619375;Crocus;19;0.42
18/01/2021;346198275;Hortensia;7;3.92
18/01/2021;503827451;Violette;2;0.13
18/01/2021;672849135;Lys;2;1.28
18/01/2021;842619375;Coquelicot;19;0.25
18/01/2021;269481735;Camelia;4;0.98
18/01/2021;346198275;Oeillet;7;0.41
18/01/2021;651982473;Rose;18;0.44
18/01/2021;482519367;Edelweiss;1;0.37
18/01/2021;672849135;Chrysantheme;2;0.5
18/01/2021;651982473;Paquerette;4;0.64
18/01/2021;269481735;Anemone;1;1.48
18/01/2021;346198275;Mimosa;7;1.79
18/01/2021;672849135;Tournesol;3;0.51
18/01/2021;672849135;Glaieul;1;0.86
18/01/2021;672849135;Dahlia;12;0.8
19/01/2021;275381649;Hortensia;11;2.83
19/01/2021;842619375;Crocus;1;0.49
19/01/2021;275381649;Rose;8;0.11
19/01/2021;275381649;Coquelicot;4;0.23
19/01/2021;503827451;Glaieul;9;0.15
19/01/2021;269481735;Oeillet;5;0.42
19/01/2021;346198275;Dahlia;6;0.19
19/01/2021;842619375;Tulipe;13;0.43
19/01/2021;672849135;Edelweiss;21;2.75
19/01/2021;275381649;Mimosa;8;2.17
19/01/2021;503827451;Chrysantheme;5;0.66
19/01/2021;482519367;Tournesol;10;0.2
19/01/2021;482519367;Lys;1;1.49
22/01/2021;275381649;Camelia;16;0.38
22/01/2021;346198275;Edelweiss;14;2.35
22/01/2021;269481735;Narcisse;1;0.51
22/01/2021;503827451;Rose;10;0.35
22/01/2021;503827451;Glaieul;3;0.41
22/01/2021;269481735;Dahlia;14;0.12
22/01/2021;842619375;Paquerette;4;0.38
22/01/2021;275381649;Tournesol;9;0.76
22/01/2021;651982473;Lys;20;1.0
22/01/2021;482519367;Jasmin;8;0.19
22/01/2021;482519367;Coquelicot;5;0.38
22/01/2021;842619375;Anemone;9;0.11
22/01/2021;651982473;Chrysantheme;1;0.43
22/01/2021;482519367;Oeillet;1;0.1
22/01/2021;503827451;Violette;2;0.34
22/01/2021;672849135;Mimosa;4;0.26
22/01/2021;503827451;Crocus;4;0.4
14/01/2021;672849135;Coquelicot;9;0.32
14/01/2021;672849135;Crocus;1;0.15
14/01/2021;503827451;Edelweiss;3;2.96
14/01/2021;503827451;Dahlia;1;0.67
14/01/2021;269481735;Tulipe;4;0.63
14/01/2021;269481735;Glaieul;1;0.28
27/01/2021;842619375;Tiare;5;0.98
27/01/2021;269481735;Dahlia;3;1.09
27/01/2021;672849135;Pivoine;1;1.15
27/01/2021;275381649;Oeillet;5;0.34
27/01/2021;503827451;Anemone;8;0.13
27/01/2021;275381649;Tournesol;2;0.59
27/01/2021;672849135;Mimosa;9;2.38
27/01/2021;842619375;Hortensia;5;1.43
27/01/2021;482519367;Narcisse;5;1.04
27/01/2021;482519367;Rose;15;0.16
27/01/2021;672849135;Tulipe;2;0.63
27/01/2021;672849135;Coquelicot;1;0.48
25/01/2021;482519367;Rose;9;0.11
25/01/2021;503827451;Mimosa;4;1.27
25/01/2021;346198275;Jasmin;2;2.34
25/01/2021;842619375;Chrysantheme;9;0.69
25/01/2021;651982473;Tournesol;4;0.76
25/01/2021;275381649;Anemone;1;1.54
25/01/2021;503827451;Camelia;4;1.14
25/01/2021;269481735;Pivoine;1;0.86
25/01/2021;503827451;Narcisse;3;0.15
25/01/2021;275381649;Coquelicot;4;0.32
25/01/2021;842619375;Hortensia;1;1.04
29/01/2021;503827451;Tiare;32;2.17
29/01/2021;672849135;Hortensia;52;3.92
29/01/2021;346198275;Dahlia;29;1.29
29/01/2021;269481735;Violette;15;0.5
29/01/2021;482519367;Crocus;12;0.26
29/01/2021;346198275;Glaieul;20;0.75
29/01/2021;482519367;Jasmin;13;2.38
29/01/2021;275381649;Paquerette;14;0.34
29/01/2021;503827451;Anemone;24;0.24
29/01/2021;275381649;Rose;15;0.41
29/01/2021;482519367;Pivoine;19;1.0
29/01/2021;503827451;Camelia;19;1.05
29/01/2021;672849135;Chrysantheme;29;0.57
29/01/2021;651982473;Narcisse;18;0.81
29/01/2021;275381649;Tournesol;22;0.28
29/01/2021;651982473;Tulipe;1;0.27
29/01/2021;482519367;Lys;40;0.64
29/01/2021;346198275;Edelweiss;8;3.24
29/01/2021;275381649;Coquelicot;14;0.4
29/01/2021;672849135;Oeillet;11;0.64
29/01/2021;346198275;Mimosa;13;0.79
28/01/2021;269481735;Tournesol;1;0.88
28/01/2021;482519367;Rose;6;0.49
28/01/2021;503827451;Camelia;1;1.3
28/01/2021;269481735;Edelweiss;8;0.41
28/01/2021;503827451;Coquelicot;1;0.1
28/01/2021;651982473;Lys;1;0.72
26/01/2021;346198275;Glaieul;8;0.22
26/01/2021;672849135;Narcisse;4;0.57
26/01/2021;269481735;Anemone;5;0.3
26/01/2021;269481735;Dahlia;4;0.18
26/01/2021;482519367;Paquerette;11;0.48
25/10/2021;672849135;Tiare;4;2.98
25/10/2021;275381649;Tulipe;12;0.13
25/10/2021;346198275;Anemone;10;1.16
25/10/2021;842619375;Oeillet;2;0.37
25/10/2021;269481735;Crocus;7;0.43
25/10/2021;672849135;Glaieul;4;0.9
25/10/2021;482519367;Pivoine;8;0.65
25/10/2021;275381649;Camelia;4;2.79
25/10/2021;651982473;Chrysantheme;1;0.67
25/10/2021;346198275;Paquerette;3;0.6
25/10/2021;842619375;Lys;4;1.37
14/10/2021;651982473;Coquelicot;21;0.35
14/10/2021;651982473;Lys;1;0.84
14/10/2021;269481735;Pivoine;8;1.33
14/10/2021;275381649;Oeillet;3;0.39
14/10/2021;842619375;Dahlia;4;0.84
14/10/2021;269481735;Mimosa;3;0.84
14/10/2021;651982473;Paquerette;1;0.48
14/10/2021;842619375;Crocus;1;0.12
14/10/2021;672849135;Chrysantheme;9;0.9
13/10/2021;503827451;Anemone;7;1.06
13/10/2021;269481735;Jasmin;5;2.35
13/10/2021;651982473;Tournesol;1;0.45
13/10/2021;482519367;Tiare;2;2.37
13/10/2021;269481735;Paquerette;1;0.6
13/10/2021;346198275;Coquelicot;1;0.39
13/10/2021;346198275;Edelweiss;6;1.43
13/10/2021;651982473;Dahlia;1;1.05
11/10/2021;651982473;Edelweiss;14;1.62
11/10/2021;269481735;Paquerette;9;0.37
11/10/2021;269481735;Tiare;3;1.03
11/10/2021;672849135;Pivoine;19;0.82
11/10/2021;503827451;Anemone;3;0.77
11/10/2021;651982473;Tournesol;2;0.21
11/10/2021;346198275;Coquelicot;1;0.29
11/10/2021;346198275;Jasmin;5;1.58
11/10/2021;672849135;Oeillet;5;0.13
11/10/2021;503827451;Violette;17;0.35
11/10/2021;503827451;Lys;15;0.79
26/10/2021;482519367;Narcisse;3;0.29
26/10/2021;651982473;Lys;18;0.95
26/10/2021;482519367;Dahlia;20;0.15
26/10/2021;503827451;Glaieul;12;0.65
26/10/2021;842619375;Anemone;10;1.23
26/10/2021;672849135;Paquerette;6;0.69
26/10/2021;672849135;Crocus;4;0.42
26/10/2021;672849135;Rose;2;0.6
26/10/2021;503827451;Tournesol;3;0.38
26/10/2021;269481735;Jasmin;2;0.83
26/10/2021;269481735;Edelweiss;7;2.71
26/10/2021;503827451;Hortensia;2;1.98
26/10/2021;672849135;Coquelicot;1;0.1
26/10/2021;482519367;Tiare;6;1.26
26/10/2021;842619375;Camelia;20;2.64
28/10/2021;842619375;Tiare;13;2.55
28/10/2021;346198275;Pivoine;7;0.9
28/10/2021;651982473;Jasmin;3;1.33
28/10/2021;651982473;Mimosa;10;1.71
28/10/2021;346198275;Edelweiss;4;0.55
28/10/2021;672849135;Lys;7;0.44
28/10/2021;503827451;Camelia;5;2.71
28/10/2021;672849135;Oeillet;6;0.49
28/10/2021;842619375;Glaieul;2;0.88
28/10/2021;269481735;Tournesol;11;0.98
28/10/2021;503827451;Paquerette;4;0.53
28/10/2021;346198275;Crocus;14;0.23
28/10/2021;275381649;Rose;15;0.56
28/10/2021;275381649;Dahlia;1;1.04
28/10/2021;503827451;Narcisse;16;0.76
28/10/2021;842619375;Chrysantheme;1;0.43
28/10/2021;346198275;Violette;7;0.17
28/10/2021;269481735;Hortensia;15;3.95
22/10/2021;842619375;Pivoine;3;0.99
22/10/2021;346198275;Mimosa;14;2.24
22/10/2021;842619375;Paquerette;9;0.33
22/10/2021;269481735;Camelia;11;2.15
22/10/2021;269481735;Chrysantheme;11;0.8
22/10/2021;269481735;Oeillet;4;0.47
22/10/2021;269481735;Tournesol;18;0.55
22/10/2021;275381649;Tiare;2;2.81
22/10/2021;275381649;Violette;1;0.19
22/10/2021;269481735;Lys;3;0.6
22/10/2021;275381649;Jasmin;4;2.15
22/10/2021;842619375;Anemone;1;0.48
22/10/2021;346198275;Dahlia;15;1.26
22/10/2021;651982473;Hortensia;6;0.16
22/10/2021;482519367;Coquelicot;12;0.13
22/10/2021;651982473;Narcisse;10;0.22
22/10/2021;269481735;Tulipe;1;0.19
19/10/2021;346198275;Violette;8;0.4
19/10/2021;651982473;Hortensia;5;3.22
19/10/2021;269481735;Pivoine;1;0.91
19/10/2021;842619375;Paquerette;1;0.1
19/10/2021;842619375;Coquelicot;3;0.42
19/10/2021;346198275;Oeillet;1;0.29
19/10/2021;269481735;Tulipe;5;0.39
19/10/2021;269481735;Camelia;1;2.87
19/10/2021;275381649;Lys;1;0.63
29/10/2021;842619375;Tulipe;9;0.37
29/10/2021;482519367;Dahlia;10;0.8
29/10/2021;346198275;Pivoine;15;2.19
29/10/2021;672849135;Jasmin;1;2.08
29/10/2021;672849135;Narcisse;2;0.65
29/10/2021;672849135;Anemone;1;1.38
29/10/2021;346198275;Tournesol;12;0.35
29/10/2021;672849135;Hortensia;3;2.58
29/10/2021;275381649;Glaieul;1;0.62
29/10/2021;275381649;Rose;2;0.85
29/10/2021;503827451;Chrysantheme;10;0.57
29/10/2021;503827451;Crocus;4;0.36
29/10/2021;842619375;Coquelicot;11;0.42
29/10/2021;672849135;Tiare;17;0.62
29/10/2021;503827451;Camelia;25;2.9
29/10/2021;269481735;Violette;1;0.49
29/10/2021;275381649;Lys;1;0.38
21/10/2021;482519367;Tulipe;19;0.19
21/10/2021;842619375;Chrysantheme;4;0.42
21/10/2021;842619375;Tiare;15;1.52
21/10/2021;672849135;Oeillet;9;0.51
21/10/2021;503827451;Rose;1;0.23
21/10/2021;275381649;Hortensia;6;1.08
21/10/2021;269481735;Crocus;1;0.36
05/11/2021;275381649;Jasmin;16;1.2
05/11/2021;503827451;Mimosa;15;1.35
05/11/2021;842619375;Rose;19;0.62
05/11/2021;275381649;Oeillet;4;0.49
05/11/2021;346198275;Narcisse;6;1.12
05/11/2021;842619375;Paquerette;3;0.58
05/11/2021;482519367;Anemone;6;1.6
05/11/2021;482519367;Crocus;7;0.47
05/11/2021;275381649;Chrysantheme;2;0.49
05/11/2021;672849135;Lys;5;0.44
05/11/2021;503827451;Violette;13;0.37
05/11/2021;346198275;Hortensia;4;3.19
05/11/2021;346198275;Edelweiss;9;2.7
05/11/2021;672849135;Coquelicot;2;0.18
05/11/2021;269481735;Glaieul;3;0.93
05/11/2021;672849135;Tiare;1;2.84
05/11/2021;269481735;Tournesol;5;0.23
05/11/2021;346198275;Dahlia;2;0.84
05/11/2021;346198275;Pivoine;7;1.56
05/11/2021;651982473;Tulipe;1;0.38
08/11/2021;269481735;Coquelicot;6;0.1
08/11/2021;269481735;Jasmin;11;1.09
08/11/2021;269481735;Violette;10;0.2
08/11/2021;672849135;Anemone;8;0.82
08/11/2021;842619375;Paquerette;5;0.52
08/11/2021;482519367;Crocus;4;0.39
08/11/2021;269481735;Mimosa;2;1.29
08/11/2021;672849135;Tournesol;3;0.82
08/11/2021;346198275;Chrysantheme;9;0.39
08/11/2021;269481735;Glaieul;12;0.99
08/11/2021;346198275;Dahlia;1;1.23
08/11/2021;672849135;Narcisse;11;0.79
08/11/2021;346198275;Oeillet;1;0.7
08/11/2021;503827451;Tulipe;3;0.23
08/11/2021;275381649;Hortensia;10;2.24
27/10/2021;672849135;Anemone;4;1.58
27/10/2021;842619375;Violette;1;0.11
27/10/2021;672849135;Chrysantheme;1;0.61
27/10/2021;482519367;Glaieul;1;0.97
27/10/2021;842619375;Paquerette;2;0.49
27/10/2021;346198275;Rose;1;0.5
27/10/2021;275381649;Narcisse;4;1.04
27/10/2021;275381649;Edelweiss;1;1.15
03/11/2021;503827451;Lys;24;0.83
03/11/2021;346198275;Oeillet;6;0.15
03/11/2021;269481735;Hortensia;2;3.99
03/11/2021;275381649;Tournesol;36;0.21
03/11/2021;672849135;Rose;22;0.24
03/11/2021;672849135;Coquelicot;12;0.46
03/11/2021;482519367;Violette;12;0.17
03/11/2021;275381649;Anemone;5;1.27
03/11/2021;275381649;Chrysantheme;6;0.59
03/11/2021;672849135;Crocus;2;0.15
03/11/2021;503827451;Narcisse;8;0.46
03/11/2021;269481735;Edelweiss;14;2.02
03/11/2021;269481735;Camelia;18;2.76
03/11/2021;503827451;Tulipe;7;0.63
03/11/2021;503827451;Mimosa;9;2.19
03/11/2021;346198275;Paquerette;14;0.13
03/11/2021;651982473;Glaieul;1;0.36
03/11/2021;346198275;Dahlia;4;0.93
03/11/2021;275381649;Jasmin;2;0.74
03/11/2021;269481735;Pivoine;1;1.84
10/11/2021;275381649;Violette;40;0.36
10/11/2021;275381649;Pivoine;37;2.06
10/11/2021;672849135;Lys;11;0.89
10/11/2021;842619375;Mimosa;21;0.63
10/11/2021;482519367;Chrysantheme;20;0.64
10/11/2021;842619375;Tiare;42;0.63
10/11/2021;482519367;Glaieul;32;0.23
10/11/2021;269481735;Tulipe;31;0.43
10/11/2021;651982473;Narcisse;41;0.47
10/11/2021;672849135;Edelweiss;59;3.48
10/11/2021;275381649;Oeillet;22;0.38
10/11/2021;275381649;Dahlia;16;1.13
10/11/2021;672849135;Camelia;59;1.0
10/11/2021;651982473;Coquelicot;22;0.47
10/11/2021;346198275;Rose;33;0.58
10/11/2021;346198275;Crocus;21;0.41
10/11/2021;503827451;Tournesol;70;0.73
10/11/2021;346198275;Anemone;29;0.11
10/11/2021;269481735;Paquerette;21;0.13
10/11/2021;346198275;Hortensia;25;3.15
10/11/2021;842619375;Jasmin;20;1.54
02/11/2021;269481735;Camelia;2;1.91
02/11/2021;269481735;Hortensia;11;2.97
02/11/2021;346198275;Tournesol;4;0.99
02/11/2021;482519367;Violette;15;0.44
02/11/2021;482519367;Paquerette;10;0.28
02/11/2021;269481735;Mimosa;2;1.56
02/11/2021;275381649;Coquelicot;6;0.45
02/11/2021;346198275;Dahlia;4;0.59
02/11/2021;651982473;Tiare;5;1.41
02/11/2021;346198275;Crocus;4;0.42
09/11/2021;275381649;Pivoine;11;1.44
09/11/2021;651982473;Violette;13;0.2
09/11/2021;651982473;Tiare;11;1.15
09/11/2021;842619375;Oeillet;14;0.73
09/11/2021;269481735;Glaieul;5;0.88
09/11/2021;275381649;Anemone;6;1.73
09/11/2021;651982473;Jasmin;19;0.77
09/11/2021;651982473;Tournesol;4;0.98
09/11/2021;672849135;Dahlia;12;0.97
09/11/2021;651982473;Narcisse;16;1.12
09/11/2021;503827451;Tulipe;9;0.5
09/11/2021;346198275;Hortensia;6;1.48
09/11/2021;482519367;Camelia;4;1.87
09/11/2021;269481735;Edelweiss;2;0.72
09/11/2021;482519367;Chrysantheme;3;0.89
04/11/2021;651982473;Camelia;20;1.39
04/11/2021;275381649;Mimosa;10;0.26
04/11/2021;651982473;Violette;4;0.17
04/11/2021;651982473;Oeillet;9;0.47
04/11/2021;269481735;Lys;1;0.29
04/11/2021;842619375;Edelweiss;4;1.37
04/11/2021;672849135;Tulipe;2;0.15
04/11/2021;269481735;Rose;2;0.2
04/11/2021;269481735;Crocus;1;0.45
04/11/2021;275381649;Anemone;9;1.11
04/11/2021;842619375;Dahlia;1;1.5
04/11/2021;269481735;Paquerette;1;0.33
04/11/2021;503827451;Chrysantheme;1;0.63
05/04/2022;672849135;Tiare;6;0.97
05/04/2022;275381649;Coquelicot;7;0.31
05/04/2022;651982473;Dahlia;5;0.53
05/04/2022;503827451;Oeillet;2;0.74
05/04/2022;672849135;Jasmin;1;1.96
05/04/2022;842619375;Hortensia;5;3.45
05/04/2022;269481735;Tulipe;4;0.16
05/04/2022;346198275;Tournesol;12;0.29
05/04/2022;672849135;Mimosa;5;1.76
18/04/2022;672849135;Dahlia;5;0.17
18/04/2022;672849135;Rose;1;0.16
18/04/2022;672849135;Coquelicot;4;0.11
18/04/2022;269481735;Glaieul;3;0.46
